current_ratio,debt_to_equity,interest_coverage,ebitda_margin,revenue_growth_yoy,cash_burn_rate,working_capital_ratio,gross_margin,risk_tier
2.0472,0.14942,0.24976,0.1666,0.21402,-32.351,0.39641,0.14942,2
1.9447,0.152,0.25834,0.15835,0.20616,-14.786,0.47225,0.152,2
1.5548,0.23815,0.30906,0.24435,0.31565,1.1523,0.26713,0.2361,2
2.4928,0.071428,0.092704,0.094257,0.1155,-51.952,0.45879,0.071428,2
1.4063,0.11553,0.18732,0.12182,0.19832,7.3128,0.2296,0.11553,2
1.7502,0.14449,0.28139,0.14812,0.27566,47.717,0.35969,0.14222,2
1.4705,0.14223,0.11109,0.30963,0.024982,-2.5349,0.28971,0.064036,2
32.46850000000019,0.564921300000001,0.6524,0.7681938000000001,0.056612,-299.58,0.70554,0.46613119999999975,2
1.1263,0.010827,0.014434,0.038938,0.24013,37.842,0.053735,0.010827,2
1.1694,0.077401,0.15328,0.075411,0.16854,91.883,0.14204,0.072451,2
1.44,0.1082,0.24001,0.1951,0.01533,21.165,0.18835,0.050585,2
2.0754,-0.045825,-0.0243,0.10164,-0.024649,31.643,0.11989,-0.045825,2
3.0243,0.11496,0.33207,0.12047,0.30471,-43.087,0.61147,0.11496,2
2.9576,0.30912,0.078063,0.31036,0.05373,-90.606,0.081562,0.30912,2
7.5746,-0.043861,-0.034653,0.004191,-0.050624,-57.844,0.45264,-0.043861,2
0.8215,-0.01467,-0.033801,-0.012483,-0.06741,74.451,-0.20599,-0.01467,2
2.5669,0.18567,0.33619,0.20684,0.33518,-73.395,0.4687,0.18567,2
3.0128,0.021027,0.039729,0.04419,0.054953,-47.935,0.43224,0.021027,2
1.2408,0.10764,0.24291,0.117,0.24454,-3.158,0.13495,0.10698,2
2.019,0.11311,0.25619,0.14063,0.25792,-38.934,0.42548,0.11223,2
2.0,0.15363,0.13909,0.14828,0.15106,-58.154,0.24796,0.14044,2
0.71426,-0.36596,-0.30505,-0.33838,-0.33399,214.91,-0.29222,-0.36596,2
1.7198,0.073545,0.15611,0.098824,0.11488,27.618,0.38069,0.073216,2
1.3553,0.093036,0.15633,0.11511,0.15277,-21.588,0.21916,0.09126,2
2.327,0.28999,0.36131,0.30276,0.359,-108.07,0.34415,0.28876,2
2.4739,0.039805,0.069715,0.067313,0.084917,-8.1087,0.32124,0.039805,2
2.1883,0.15318,0.25911,0.15635,0.3087,-69.659,0.47935,0.15311,2
5.3277,0.26951,0.32142,0.29742,0.31094,-198.95,0.61965,0.26951,2
0.94263,-0.072298,-0.054623,-0.021237,-0.062889,87.724,-0.026927,-0.072298,2
0.46115,-0.22455,-0.35884,-0.19052,-0.1916,152.21,-0.46577,-0.22455,2
1.2981,0.081028,0.12731,0.10245,0.13335,2.921,0.07732,0.081028,2
1.6388,0.054902,0.1409,0.058424,0.12079,11.094,0.33886,0.054902,2
1.1433,0.045503,0.01099,0.020264,0.019335,97.822,0.07811,0.011079,2
1.5431,0.001807,0.002745,0.033226,-0.007323,44.797,0.2013,0.001807,2
0.90444,0.004897,0.012298,0.015526,-0.018598,58.08,-0.060128,0.004897,2
1.3169,0.077616,0.11871,0.094556,0.10364,1.2568,0.1756,0.077616,2
3.8148,0.21892,0.35799,0.24433,0.32029,-145.57,0.64812,0.21889,2
2.0445,0.042258,0.12446,0.069518,0.14271,-14.774,0.43815,0.040676,2
4.2102,0.16352,0.25271,0.19007,0.26083,-87.51,0.56391,0.16352,2
4.65,0.12154,0.16623,0.15434,0.17723,-66.835,0.5326,0.12154,2
1.2884,0.087712,0.011834,0.37445,0.01438,-91.798,0.025515,0.087712,2
1.1195,0.015834,0.059757,0.027414,0.097408,44.598,0.074912,0.015834,2
0.54489,0.064195,0.044169,0.13633,0.048431,59.217,-0.089401,0.064195,2
0.89193,-0.033958,-0.080617,-0.018603,-0.067427,37.659,-0.097908,-0.033958,2
1.5172,0.060523,0.036752,0.30196,0.024568,243.74,0.23585,0.024873,2
0.82411,0.00462,-0.009069,0.015262,-0.001732,59.514,-0.15967,-0.003898,2
1.0848,-0.077341,-0.081668,-0.034396,-0.067079,132.7,0.056945,-0.077341,2
0.72438,-0.05103,-0.062519,-0.007842,-0.080616,134.04,-0.25588,-0.051038,2
1.3068,-0.066534,-0.23821,-0.052223,-0.2414,-1.1042,0.17154,-0.066534,2
1.5531,0.11041,0.22368,0.12344,0.23694,-3.4455,0.30834,0.11041,2
8.6524,-0.044214,-0.037519,0.068465,-0.041389,-175.55,0.61608,-0.044214,2
0.75143,0.022366,0.017342,0.039052,0.044232,72.354,-0.18476,0.011773,2
1.0238,0.000288,0.000121,0.005836,0.004289,29.76,0.011944,0.000288,2
1.2688,0.564921300000001,0.6912076000000001,0.31428,0.19771,-3.0694,0.13648,0.31355,2
2.0837,0.096598,0.17695,0.09999,0.17353,-58.226,0.38905,0.096598,2
1.9565,0.092942,0.25016,0.10215,0.24265,-26.737,0.28987,0.092942,2
1.3228,0.22169,0.25086,0.23361,0.26231,-44.573,0.14058,0.22169,2
2.9128,0.058688,0.076807,0.067834,0.053205,-109.9,0.48274,0.058688,2
3.2572,0.39968,0.32528,0.34669,0.011732,-168.7,0.57792,0.17816,2
0.7147,0.032947,0.10934,0.051598,-0.079645,69.366,-0.28383,0.032947,2
2.2091,-0.1522,-0.090783,-0.10395,-0.11899,-106.22,0.25495,-0.16402,2
7.1356,0.20345,0.18043,0.23715,0.17858,-210.57,0.57841,0.20345,2
0.8386,0.031411,0.031603,0.035706,0.070203,67.711,-0.11986,0.017178,2
6.2799,0.21856,0.14088,0.10925,0.0,-191.28,0.68153,0.10925,2
0.62128,-0.13231,-0.10375,-0.045847,0.026681,162.57,-0.34072,-0.066157,2
2.057,0.006175,0.003469,0.065495,-0.006809,-61.015,0.14117,0.005052,2
0.95785,0.049262,0.058801,0.065383,0.081318,113.84,-0.029547,0.037934,2
0.96729,-0.086767,-0.072354,-0.036873,-0.18151,76.881,-0.023798,-0.1363,2
2.5554,0.12584,0.2309,0.13864,0.24116,-18.453,0.46252,0.12097,2
2.8964,0.24824,0.35808,0.2761,0.36737,-37.84,0.37931,0.24133,2
1.2716,0.18224,0.11936,0.19326,0.010601,165.39,0.19891,0.079615,2
2.388,0.05089,0.087624,0.077849,0.094205,-24.998,0.25875,0.05089,2
2.4714,-0.051287,-0.06779,-0.0434,-0.05221,-69.164,0.51538,-0.051287,2
1.5354,0.060523,0.080831,0.11061,0.086115,27.265,0.20917,0.060523,2
1.1001,0.1036,0.043515,0.18897,0.040897,1.4944,0.044173,0.1036,2
,0.049075,0.6912076000000001,0.050754,0.6873924000000006,-0.0,0.0,0.049075,2
1.294,0.086528,0.28921,0.09741,0.30045,5.4507,0.1996,0.085264,2
2.4774,0.11386,0.1089,0.14114,0.15464,-6.4534,0.40254,0.11386,2
2.9491,0.007352,0.016622,0.037746,0.013719,-47.755,0.36917,0.007352,2
1.9151,0.096172,0.15451,0.14308,0.16559,-1.4092,0.22026,0.096172,2
2.101,0.095948,0.10668,0.12331,0.12126,7.1206,0.29984,0.095948,2
1.3172,0.047928,0.044036,0.085877,0.045974,120.45,0.094882,0.047928,2
32.46850000000019,-0.063988,-0.025266,-0.037573,0.008161,,0.47279,-0.037573,2
2.5204,0.096526,0.10094,0.1218,0.38315,-44.75,0.39144,0.096526,2
0.96166,0.1644,0.27464,0.16595,0.15888,33.963,-0.013942,0.1644,2
1.5281,0.063512,0.10618,0.073798,0.10992,-6.5078,0.27833,0.063512,2
1.218,0.015792,0.014043,0.046668,0.011754,55.122,0.091047,0.015792,2
4.2627,0.26328,0.42775,0.27785,0.45562,-134.61,0.57519,0.25587,2
1.3997,0.015722,0.039185,0.031762,0.06946,14.73,0.21032,0.015722,2
1.2502,0.07998,0.104,0.082593,0.17141,39.536,0.071875,0.067778,2
0.96502,0.009244,0.008997,0.039157,0.012961,81.363,-0.015723,0.009244,2
0.79027,0.064625,0.08718,0.096539,0.10301,81.284,-0.11223,0.064625,2
5.087,0.51499,0.47728,0.58343,0.48064,-190.13,0.65827,0.46613119999999975,2
3.5215,0.069828,0.082127,0.11033,0.086357,-61.973,0.35611,0.069828,2
0.90658,0.55433,0.36748,0.28407,0.002946,180.74,-0.052432,0.2479,2
2.1542,0.1512,0.28948,0.15174,0.35524,-86.155,0.53066,0.1512,2
2.8161,0.074881,0.11564,0.083107,0.068735,-35.732,0.58713,0.071468,2
0.99752,0.27219,0.6912076000000001,0.28546,0.6873924000000006,1.9451,-0.00113,0.27107,2
1.9595,-0.006791,-0.005026,0.010886,-0.013247,-76.769,0.37406,-0.006791,2
1.1574,0.021003,0.016863,0.17268,0.009533,130.64,0.091017,0.007781,2
3.4405,-0.001343,-0.001218,0.11342,0.00439,-22.922,0.52875,-0.001343,2
0.71237,-0.014242,-0.030391,-0.002745,-0.030801,100.72,-0.32972,-0.014242,2
1.6794,0.077755,0.046772,0.068794,0.040815,98.903,0.29023,0.045072,2
3.2414,0.16676,0.32221,0.16664,0.31299,-17.05,0.58996,0.16664,2
2.2695,0.030686,0.050985,0.072592,0.056824,-43.915,0.35688,0.030686,2
2.6846,0.055873,0.15024,0.063468,0.15028,-82.596,0.58896,0.055873,2
7.4474,0.12965,0.24216,0.16017,0.2534,-73.832,0.7439,0.1296,2
4.0848,0.1205,0.21142,0.14753,0.20917,-0.59025,0.51999,0.1205,2
1.1317,0.20571,0.13646,0.09113,0.041736,46.052,0.061256,0.090453,2
2.8801,-0.039485,-0.08325,0.014947,-0.067183,-52.382,0.31332,-0.039485,2
1.062,-0.34007,-0.44949,-0.32557,-0.4121,81.883,0.050202,-0.34007,2
1.3637,0.049966,0.14468,0.063977,0.15854,0.16393,0.20319,0.049966,2
1.4234,0.022698,0.027332,0.04633,0.039459,20.625,0.18278,0.022698,2
1.3184,0.13021,0.35105,0.146,0.43123,39.234,0.20189,0.1253,2
2.1594,0.14344,0.31246,0.15479,0.42666,-26.051,0.44235,0.13833,2
0.90793,0.074666,0.10206,0.10181,0.065985,50.863,-0.042881,0.067029,2
3.946,0.32249,0.21847,0.319,1.4e-05,-294.33,0.71866,0.14383,2
1.4388,0.080848,0.12489,0.098878,0.12201,10.676,0.2547,0.080848,2
1.4388,0.080848,0.12489,0.098878,0.12201,10.676,0.2547,0.080848,2
2.0094,0.01235,0.016318,0.045338,0.009037,6.3902,0.18627,0.01235,2
4.4737,0.022797,0.030538,0.067225,0.03236,-44.756,0.57394,0.022797,2
1.6566,0.035745,0.052875,0.033951,0.074635,-1.4059,0.38009,0.02696,2
24.9,0.15129,0.21805,0.19601,0.21693,-99.109,0.60883,0.15129,2
0.72281,0.18112,0.17306,0.2182,0.16712,146.04,-0.14286,0.17727,2
3.0576,0.30501,0.47447,0.33412,0.36534,-131.46,0.49699,0.30501,2
1.1844,0.061431,0.11401,0.072858,0.13296,36.092,0.12557,0.061431,2
3.0294,0.12934,0.41422,0.13833,0.46225,-74.143,0.59189,0.12703,2
1.7418,0.023453,0.022031,0.067822,-0.016341,-41.699,0.25218,0.017674,2
1.3952,0.20266,0.16352,0.10914,0.030629,36.697,0.20611,0.09375,2
6.1165,0.21686,0.28597,0.23427,0.28251,-27.47,0.58663,0.21686,2
9.332,0.091866,0.35184,0.10177,0.33082,-69.083,0.77819,0.091866,2
1.6421,0.092164,0.11877,0.085827,0.18208,-24.497,0.27315,0.07544,2
4.2954,0.26432,0.6912076000000001,0.26702,0.6873924000000006,-101.67,0.7354,0.26432,2
1.9613,0.051098,0.024296,0.091309,0.051565,-7.5028,0.1436,0.028398,2
3.7804,0.16723,0.055119,0.13091,0.012127,-191.89,0.36539,0.073898,2
2.7257,0.042417,0.036365,0.11344,0.010563,-94.958,0.4042,0.042417,2
1.4685,0.18731,0.29653,0.17922,0.32255,-17.229,0.13351,0.16732,2
1.5293,0.20026,0.22948,0.24019,0.19046,-27.953,0.11665,0.19811,2
3.0278,0.077637,0.078658,0.093542,0.31774,-50.007,0.37439,0.071744,2
4.7145,0.055042,0.14503,0.074687,0.11921,-61.547,0.62213,0.055042,2
1.1792,0.048161,0.12242,0.066889,0.10517,13.64,0.10396,0.048161,2
1.8063,0.1412,0.3204,0.16155,0.36084,-3.8025,0.2523,0.13605,2
1.6515,0.13353,0.44244,0.14113,0.45566,10.62,0.33311,0.13073,2
0.76049,0.08905,0.076777,0.13104,0.10038,103.74,-0.083547,0.08905,2
4.1907,0.23473,0.13482,0.11806,0.000373,-49.548,0.4397,0.11759,2
1.0542,0.072641,0.14089,0.11062,0.12174,42.422,0.023202,0.063482,2
1.2325,0.13281,0.085518,0.14681,0.06547,168.8,0.131,0.13281,2
0.38578,0.066241,0.062208,0.10094,0.061059,150.65,-0.42015,0.044811,2
4.931,0.061113,0.085359,0.099981,0.11514,-92.741,0.35361,0.060492,2
0.62467,0.05972,0.096341,0.068422,0.080999,187.03,-0.53889,0.050266,2
1.5341,0.099949,0.18782,0.10642,0.20865,8.3492,0.28788,0.099949,2
5.771,0.10524,0.15842,0.17247,0.15633,-93.166,0.569,0.10524,2
26.382,0.088405,0.26733,0.095568,0.26851,-66.922,0.86855,0.08839,2
0.97892,0.005363,0.019711,0.010944,0.026307,22.191,-0.013257,0.005363,2
5.3047,-0.01825,-0.020531,0.011753,-0.017851,-19.528,0.47944,-0.01825,2
1.6558,0.090503,0.18917,0.10907,0.18129,-30.946,0.36704,0.090503,2
1.3891,0.12921,0.18343,0.14215,0.22711,31.99,0.1924,0.10589,2
2.1662,0.036358,0.069025,0.068267,0.074427,18.256,0.2891,0.036358,2
2.3902,0.080303,0.11894,0.093622,0.12158,-46.048,0.47659,0.080303,2
2.7552,0.10812,0.14404,0.13043,0.14481,-104.83,0.52111,0.10812,2
1.7944,0.045553,0.024034,0.057917,0.052272,-2.5576,0.18258,0.03617,2
6.7391,0.21827,0.2277,0.22277,0.21517,-275.43,0.81147,0.21827,2
0.89192,0.19313,0.27486,0.21343,0.27922,56.283,-0.072359,0.19313,2
0.93279,-0.047084,-0.14535,-0.038991,-0.16769,84.623,-0.065517,-0.047084,2
0.91756,-0.049705,-0.071948,-0.010682,-0.0548,155.31,-0.070907,-0.049705,2
1.8586,0.22797,0.57915,0.22797,0.57032,-52.396,0.28859,0.22797,2
2.1345,0.14519,0.30711,0.15796,0.54816,-87.51,0.40714,0.14473,2
1.2593,0.081611,0.068992,0.091053,0.028537,68.523,0.11546,0.081611,2
1.6272,0.034236,0.056519,0.04762,0.1006,-26.155,0.23804,0.034236,2
1.7028,0.012292,0.036125,0.023896,0.033367,21.733,0.31842,0.012292,2
4.6832,0.15793,0.19528,0.19993,0.20107,-76.966,0.44198,0.15793,2
1.9734,0.18346,0.18759,0.7681938000000001,0.005638,29.96,0.47051,0.081505,2
1.3352,-0.013187,-0.008594,0.000807,0.028073,-9.8305,0.20865,-0.013187,2
1.2421,-0.015618,-0.020314,0.040803,-0.000467,34.098,0.10461,-0.015618,2
1.505,0.058845,0.13868,0.063915,0.13568,-8.7534,0.22393,0.058845,2
1.7588,0.029894,0.071235,0.034522,0.042883,-22.561,0.4149,0.029894,2
2.6054,0.15896,0.19777,0.20074,0.20945,-63.108,0.45643,0.15896,2
,0.003346,0.010138,0.004764,0.045401,-114.56,0.8898208000000005,0.003346,2
1.6425,0.014311,0.020695,0.068217,0.03669,-5.2696,0.17891,0.014311,2
1.1139,0.015257,0.028803,0.045421,0.009686,34.233,0.054742,0.015257,2
1.2733,0.039141,0.049467,0.1619,0.065274,11.202,0.080629,0.039141,2
12.113,0.38315,0.65635,0.41295,0.63797,-169.56,0.73421,0.38315,2
1.4365,0.097753,0.17993,0.13564,0.17753,21.203,0.16086,0.097753,2
2.9475,0.075782,0.11563,0.14385,0.10738,-6.7432,0.22231,0.075782,2
6.4225,0.16403,0.33084,0.1773,0.31692,-110.86,0.70977,0.16403,2
2.174,0.018203,0.029995,0.040052,0.030925,-61.274,0.36189,0.018203,2
3.2491,0.13382,0.28155,0.14875,0.30748,-62.421,0.37625,0.12558,2
2.8796,0.22819,0.41042,0.23721,0.41858,-70.721,0.55876,0.22735,2
1.5698,0.067971,0.1733,0.072527,0.18511,6.3883,0.30858,0.067971,2
2.2527,0.037356,0.073112,0.060633,0.073859,-43.355,0.41143,0.037356,2
4.5969,0.11157,0.1815,0.1389,0.20942,-97.359,0.57198,0.11157,2
6.193,0.49838,0.39241,0.23921,0.089393,-109.02,0.57939,0.21838,2
1.3042,0.030893,0.012624,0.006734,0.030877,57.94,0.17187,0.006734,2
5.9547,0.010868,0.005335,0.25935,0.003262,-172.84,0.25272,0.010868,2
4.0141,0.14342,0.39554,0.14446,0.41426,-78.338,0.74875,0.14342,2
0.8809,-0.04606,-0.1131,-0.03815,-0.12093,68.252,-0.12957,-0.046106,2
2.9104,0.19974,0.21482,0.26771,0.18299,-150.82,0.53882,0.19635,2
3.1157,0.49303,0.55765,0.25871,0.017888,-85.433,0.50231,0.24651,2
6.3695,0.26232,0.6912076000000001,0.26821,0.6873924000000006,-90.451,0.83653,0.26231,2
3.6406,0.11333,0.18003,0.14469,0.20625,-95.901,0.60429,0.11333,2
1.0837,0.066262,0.10216,0.7681938000000001,0.04036,-9.3589,0.062758,0.030216,2
1.6388,0.039241,0.082089,0.055132,0.077354,-16.316,0.22388,0.039241,2
2.2938,0.12357,0.15343,0.13974,0.15281,-0.3729,0.29058,0.12357,2
0.95993,-0.16511,-0.12148,-0.11159,0.14449,271.01,-0.023869,-0.16511,2
1.2958,0.072085,0.1665,0.085525,0.17504,15.015,0.16742,0.072085,2
1.7662,0.14515,0.25902,0.16017,0.2746,-28.177,0.20973,0.14515,2
2.7842,0.051418,0.09246,0.089872,0.11019,6.3626,0.36882,0.051418,2
1.0349,0.065848,0.095808,0.065433,0.13368,40.072,0.016726,0.048515,2
0.90406,-0.036874,-0.028096,0.03401,0.017531,66.323,-0.071003,-0.017456,2
1.1683,0.078982,0.1263,0.23194,0.16397,-10.845,0.082436,0.078982,2
0.71469,-0.055577,-0.087629,-0.042165,-0.099149,138.55,-0.20327,-0.072398,2
2.1399,0.15816,0.31016,0.17036,0.2997,-47.308,0.40758,0.15816,2
1.2264,0.049108,0.1139,0.055894,0.11207,6.7246,0.16931,0.049108,2
1.41,0.066724,0.13796,0.077602,0.10662,27.451,0.27346,0.066724,2
0.61786,-0.022221,-0.050251,-0.003598,-0.075751,86.671,-0.25771,-0.026307,2
4.4535,0.02689,0.052892,0.088168,0.045101,-79.497,0.56426,0.02689,2
3.503,0.17194,0.20468,0.21183,0.18667,-42.015,0.39308,0.17194,2
3.9093,0.21388,0.22347,0.25669,0.22141,-95.934,0.45079,0.21388,2
3.1607,0.068595,0.097679,0.10147,0.090558,-53.203,0.45565,0.068595,2
3.7724,0.10111,0.12912,0.18909,0.13457,-99.666,0.43256,0.10111,2
1.5503,0.061612,0.15562,0.082514,0.17405,19.734,0.20939,0.061612,2
1.9637,0.055835,0.07213,0.092977,0.076134,-25.463,0.28368,0.055835,2
1.4184,0.19272,0.11322,0.7681938000000001,0.022928,-100.87,0.28401,0.085496,2
2.0469,0.564921300000001,0.35682,0.35815,0.006036,41.904,0.40096,0.35463,2
0.82801,-0.018058,-0.029333,0.015361,-0.12321,120.97,-0.15314,-0.018058,2
1.9487,0.055822,0.061002,0.094231,0.058016,-35.504,0.24938,0.055822,2
2.2255,0.090711,0.10514,0.1445,0.1092,-21.504,0.30362,0.090711,2
2.059,0.060953,0.13664,0.073169,0.13045,-24.984,0.39401,0.060953,2
0.66721,-0.011653,-0.023754,-0.005807,0.004494,16.507,-0.16713,-0.005807,2
2.8559,0.52939,0.6912076000000001,0.57479,0.6873924000000006,-96.266,0.48657,0.46613119999999975,2
3.41,0.059442,0.14719,0.085862,0.21312,-68.529,0.6015,0.058558,2
3.2435,0.042105,0.074452,0.10641,0.072146,-43.243,0.3075,0.042105,2
1.4506,0.044302,0.064059,0.068254,0.070742,7.1497,0.1173,0.044302,2
